,artistName,artistId,songName,songId,availableMarket,songPopularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,aritstPopularity,artistGenre
0,M83,63MQldklfxkjYDoUE4Tppz,Midnight City,1eyzqe2QqGZUmfcPZtrIyt,"CA,US",71.0,0.526,0.7120000000000001,11.0,-6.525,0.0,0.0356,0.0161,0.0,0.179,0.32,105.009,71.0,"french shoegaze,indie pop,indietronica,metropopolis,neo-synthpop"
1,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",77.0,0.794,0.8109999999999999,6.0,-8.966000000000001,0.0,0.038,0.0426,1.07e-06,0.10099999999999999,0.862,116.04700000000001,80.0,"electro,filter house"
2,Foster The People,7gP3bB2nilZXLfPHJhMdvc,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",84.0,0.531,0.821,2.0,-6.812,1.0,0.0439,0.0701,0.171,0.124,0.34,129.139,64.0,"alternative dance,australian indie,indie pop,indietronica,modern rock"
3,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Black Skinhead,722tgOgdIbNe3BEyLnejw4,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",76.0,0.299,0.613,7.0,-9.012,1.0,0.0347,0.0163,0.00359,0.368,0.306,166.96,74.0,"irish rock,pop rock,rock"
4,fun.,5nCi3BB41mBaMH9gfr6Su0,We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,"AT,BG,CH,CZ,DE,DK,EE,FI,HU,IL,IS,LT,LV,NO,PL,RO,SE,SK,TR,US",72.0,0.6709999999999999,0.373,9.0,-18.064,1.0,0.0323,0.257,7.950000000000001e-05,0.0481,0.732,92.71700000000001,75.0,"album rock,mellow gold,rock,soft rock,yacht rock"
5,Nirvana,6olE6TJLqED3rqDCT0FyPh,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,"CA,MX,US",76.0,0.442,0.943,3.0,-3.205,1.0,0.0602,0.00293,8.71e-06,0.091,0.7809999999999999,85.064,82.0,"permanent wave,pop punk,punk,rock"
6,Gotye,2AsusXITU8P25dlRNhcAbG,Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,"CA,CR,MX,US",75.0,0.523,0.442,4.0,-14.120999999999999,1.0,0.0347,0.0189,0.0004940000000000001,0.0784,0.27699999999999997,81.083,71.0,"alternative rock,art rock,boston rock,garage rock,indie rock,modern rock,new wave,noise pop,permanent wave,rock"
7,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,"AD,AE,AR,AT,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",83.0,0.862,0.608,7.0,-4.762,1.0,0.0402,0.00373,6.14e-06,0.0856,0.836,120.00200000000001,67.0,"dance pop,hip pop,neo soul,pop,r&b,urban contemporary"
8,Passenger,0gadJ2b9A4SKsB1RFkBb66,Let Her Go,0JmiBCpWc1IAc0et7Xm7FL,"CA,DO,MX,US",68.0,0.5589999999999999,0.345,4.0,-13.495999999999999,1.0,0.0459,0.0576,0.000105,0.141,0.45799999999999996,84.581,84.0,"alternative rock,funk metal,funk rock,permanent wave,post-grunge,rock"
9,Loose Passenger Seat,5Dx4bvCuqjFyztRUYn82C5,I Let Her Go (acoustic mix),3Ssak9ZUFG3ctLs70oUyUX,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",25.0,0.772,0.685,5.0,-6.849,1.0,0.0696,0.019,8.96e-05,0.131,0.501,130.033,75.0,"dance pop,pop,pop rap,post-teen pop"
