danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.526,0.712,11.0,-6.525,0.0,0.0356,0.0161,0.0,0.179,0.32,105.009
0.794,0.811,6.0,-8.966,0.0,0.038,0.0426,1.07e-06,0.101,0.862,116.047
0.531,0.821,2.0,-6.812,1.0,0.0439,0.0701,0.171,0.124,0.34,129.139
0.299,0.613,7.0,-9.012,1.0,0.0347,0.0163,0.00359,0.368,0.306,166.96
0.671,0.373,9.0,-18.064,1.0,0.0323,0.257,7.95e-05,0.0481,0.732,92.717
0.442,0.943,3.0,-3.205,1.0,0.0602,0.00293,8.71e-06,0.091,0.781,85.064
0.523,0.442,4.0,-14.121,1.0,0.0347,0.0189,0.000494,0.0784,0.277,81.083
0.862,0.608,7.0,-4.762,1.0,0.0402,0.00373,6.14e-06,0.0856,0.836,120.002
0.559,0.345,4.0,-13.496,1.0,0.0459,0.0576,0.000105,0.141,0.458,84.581
0.772,0.685,5.0,-6.849,1.0,0.0696,0.019,8.96e-05,0.131,0.501,130.033
0.818,0.705,6.0,-6.679,1.0,0.177,0.00836,0.00233,0.613,0.772,138.559
0.566,0.664,4.0,-5.303,0.0,0.0464,0.634,0.0,0.116,0.437,128.945
0.871,0.701,5.0,-5.594,0.0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975
0.451,0.931,9.0,-3.871,1.0,0.0719,0.00076,0.0049,0.361,0.172,122.961
0.236,0.249,6.0,-9.595,0.0,0.0348,0.811,1e-06,0.087,0.181,72.847
0.765,0.788,3.0,-9.896,1.0,0.0332,0.0166,0.588,0.0513,0.964,126.879
0.665,0.71,8.0,-9.125,1.0,0.0316,0.0314,0.0957,0.346,0.719,127.021
0.613,0.622,1.0,-5.794,0.0,0.0334,0.00882,0.0,0.37,0.484,80.003
0.518,0.401,9.0,-7.583,0.0,0.0284,0.642,0.000185,0.118,0.171,92.148
0.311,0.0637,7.0,-15.039,1.0,0.0359,0.802,1.78e-05,0.112,0.118,164.821
0.774,0.756,1.0,-4.995,1.0,0.0389,0.0423,0.0,0.305,0.931,144.032
0.799,0.586,11.0,-6.735,1.0,0.0377,0.162,2.03e-06,0.193,0.549,120.97
0.664,0.705,1.0,-4.972,0.0,0.0382,0.0654,0.0,0.115,0.477,122.017
0.448,0.784,9.0,-3.686,1.0,0.0627,0.106,0.000108,0.668,0.236,136.245
0.33,0.936,1.0,-3.66,1.0,0.0917,0.00108,0.0,0.0926,0.234,148.112
0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988
0.734,0.766,1.0,-4.485,1.0,0.0383,0.025,0.00138,0.108,0.6,127.986
0.825,0.435,1.0,-9.582,1.0,0.0568,0.452,0.609,0.0953,0.243,119.038
0.726,0.698,5.0,-4.165,1.0,0.0431,0.049,0.0,0.309,0.867,143.994
0.733,0.71,5.0,-5.849,0.0,0.0292,0.145,0.115,0.0956,0.965,127.975
0.729,0.735,1.0,-5.455,1.0,0.0919,0.0178,0.000193,0.089,0.544,121.986
0.515,0.43,7.0,-9.935,1.0,0.0369,0.0102,0.000141,0.129,0.104,91.841
0.37,0.5,7.0,-7.756,1.0,0.025,0.00311,1.83e-06,0.0642,0.281,187.186
0.356,0.872,2.0,-7.837,1.0,0.068,0.00417,0.00975,0.0997,0.607,166.3
0.48,0.756,1.0,-5.399,1.0,0.0333,0.00993,0.00704,0.312,0.447,131.127
0.674,0.789,8.0,-6.903,1.0,0.0676,0.00178,0.0071,0.0754,0.918,129.804
0.446,0.757,1.0,-5.177,1.0,0.0322,0.0206,0.0,0.146,0.421,102.88
0.737,0.463,0.0,-7.828,1.0,0.0792,0.00817,0.447,0.255,0.324,123.881
0.681,0.44,5.0,-15.366,1.0,0.0307,0.0144,0.917,0.199,0.821,132.07
0.736,0.51,4.0,-7.856,1.0,0.0518,0.02,0.689,0.316,0.215,126.121
0.775,0.823,1.0,-6.091,1.0,0.271,0.000954,0.0,0.144,0.273,130.041
0.826,0.423,4.0,-8.041,1.0,0.0371,0.0162,0.000588,0.107,0.508,124.011
0.372,0.865,2.0,-4.918,1.0,0.0381,0.000453,0.0,0.234,0.478,174.53
0.399,0.787,1.0,-2.88,1.0,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089
0.757,0.882,1.0,-6.125,1.0,0.248,0.0763,0.0,0.251,0.684,140.047
0.446,0.952,6.0,-5.321,1.0,0.0523,0.0901,0.0857,0.112,0.624,125.303
0.209,0.418,3.0,-8.74,1.0,0.0338,0.163,0.00195,0.113,0.123,138.265
0.574,0.512,5.0,-6.664,0.0,0.0503,0.234,0.0,0.0946,0.512,76.899
0.778,0.585,7.0,-6.502,1.0,0.0435,0.0123,0.0,0.108,0.626,120.069
0.278,0.676,9.0,-8.821,1.0,0.0371,0.000423,0.000899,0.136,0.494,104.545
0.518,0.784,2.0,-5.659,1.0,0.0524,0.00346,0.00187,0.171,0.588,124.102
0.378,0.638,10.0,-5.576,1.0,0.075,0.02,7.66e-05,0.0849,0.735,184.086
0.554,0.772,7.0,-4.821,0.0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984
0.484,0.731,1.0,-6.694,1.0,0.0379,0.431,0.0,0.151,0.51,101.654
0.776,0.413,6.0,-7.438,0.0,0.0952,0.00415,2.68e-05,0.0724,0.287,100.003
0.596,0.856,4.0,-3.556,0.0,0.0346,0.0211,0.0178,0.141,0.743,127.949
0.579,0.865,6.0,-4.692,1.0,0.0302,5.63e-05,0.000221,0.649,0.358,104.99
0.561,0.741,6.0,-4.239,0.0,0.0419,0.000715,1.4e-05,0.0822,0.776,139.001
0.593,0.263,4.0,-14.029,0.0,0.0567,0.844,5.36e-06,0.127,0.109,76.379
0.581,0.963,11.0,-4.087,1.0,0.0981,0.0295,0.0,0.139,0.788,129.992
0.492,0.81,7.0,-5.315,1.0,0.0847,0.0416,0.00379,0.117,0.245,149.954
0.616,0.432,7.0,-9.546,1.0,0.133,0.106,0.0,0.132,0.302,84.778
0.516,0.906,1.0,-4.525,1.0,0.0658,2.86e-05,0.000101,0.105,0.728,116.775
0.722,0.758,11.0,-4.477,0.0,0.0471,0.0111,0.0,0.308,0.62,128.047
0.542,0.589,2.0,-6.623,1.0,0.0318,0.292,0.000522,0.177,0.137,111.665
0.647,0.822,5.0,-4.662,0.0,0.183,0.219,0.0,0.0908,0.962,160.019
0.412,0.882,11.0,-5.54,0.0,0.0369,5.96e-05,0.00031,0.0805,0.356,158.066
0.617,0.778,9.0,-8.871,0.0,0.027,0.459,0.925,0.128,0.152,100.363
0.41,0.802,10.0,-4.845,1.0,0.33,0.138,8.52e-06,0.237,0.701,84.518
0.276,0.715,0.0,-5.356,1.0,0.0432,0.00552,0.000417,0.201,0.173,137.028
0.324,0.597,0.0,-11.715,1.0,0.0371,0.00257,0.476,0.0785,0.257,138.566
0.616,0.656,5.0,-7.298,1.0,0.0344,0.096,0.000879,0.205,0.286,150.071
0.602,0.905,2.0,-4.046,1.0,0.0775,0.000202,0.064,0.117,0.411,128.019
0.857,0.517,0.0,-6.972,1.0,0.0384,0.565,0.000195,0.102,0.754,129.063
0.566,0.995,7.0,-1.355,0.0,0.0642,0.00954,0.712,0.0832,0.558,119.974
0.559,0.777,1.0,-5.031,1.0,0.0432,0.31,0.0,0.105,0.329,87.016
0.685,0.466,0.0,-9.074,1.0,0.0304,0.794,2.06e-06,0.0915,0.353,79.936
0.625,0.547,0.0,-5.616,1.0,0.0295,0.627,0.0,0.194,0.135,78.482
0.556,0.477,0.0,-8.977,1.0,0.0406,0.0729,0.937,0.0803,0.205,159.552
0.644,0.34,0.0,-14.669,1.0,0.0359,0.0372,0.0,0.0656,0.224,79.993
0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998
0.642,0.171,2.0,-15.793,1.0,0.0536,0.889,0.924,0.0869,0.585,89.199
0.418,0.42,0.0,-6.444,1.0,0.0414,0.588,6.39e-05,0.11,0.184,84.094
0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93
0.548,0.532,5.0,-7.596,1.0,0.0323,0.186,0.000263,0.217,0.405,85.03
0.457,0.854,2.0,-6.2,1.0,0.265,0.0277,9.62e-05,0.731,0.485,172.231
0.807,0.887,9.0,-3.726,1.0,0.0503,0.0573,2.87e-06,0.124,0.961,134.052
0.566,0.755,11.0,-5.526,1.0,0.0368,0.0338,0.0,0.315,0.445,101.006
0.671,0.849,9.0,-5.03,0.0,0.0284,0.163,0.0,0.0937,0.829,125.613
0.75,0.727,5.0,-4.21,0.0,0.142,0.0189,0.0,0.266,0.359,129.993
