artistName,artistId,songName,songId,availableMarket,songPopularity
M83,63MQldklfxkjYDoUE4Tppz,Midnight City,1eyzqe2QqGZUmfcPZtrIyt,"CA,US",71.0
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",77.0
Foster The People,7gP3bB2nilZXLfPHJhMdvc,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",84.0
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Black Skinhead,722tgOgdIbNe3BEyLnejw4,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",76.0
fun.,5nCi3BB41mBaMH9gfr6Su0,We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,"AT,BG,CH,CZ,DE,DK,EE,FI,HU,IL,IS,LT,LV,NO,PL,RO,SE,SK,TR,US",72.0
Nirvana,6olE6TJLqED3rqDCT0FyPh,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,"CA,MX,US",76.0
Gotye,2AsusXITU8P25dlRNhcAbG,Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,"CA,CR,MX,US",75.0
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,"AD,AE,AR,AT,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",83.0
Passenger,0gadJ2b9A4SKsB1RFkBb66,Let Her Go,0JmiBCpWc1IAc0et7Xm7FL,"CA,DO,MX,US",68.0
Loose Passenger Seat,5Dx4bvCuqjFyztRUYn82C5,I Let Her Go (acoustic mix),3Ssak9ZUFG3ctLs70oUyUX,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",25.0
The Temper Trap,4W48hZAnAHVOC2c8WH8pcq,Sweet Disposition,5RoIXwyTCdyUjpMMkk4uPd,US,66.0
MGMT,0SwO7SWeDHJijQ3XNS7xEE,Kids,1jJci4qxiYcOHhQR247rEU,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",77.0
Clean Bandit,6MDME20pz9RveH9rEXvrOM,Rather Be (feat. Jess Glynne),3s4U7OHV7gnj42VV72eSZ6,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",73.0
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,"CA,MX,US",74.0
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Radioactive,4G8gkOterJn0Ywt6uhqbhp,"CA,US",73.0
