artist_name,id,country
Coldplay,4439,England
Daft Punk,4385,France
Rihanna,3880,None
David Guetta,3671,France
Calvin Harris,3520,Scotland
JAY Z,3406,United States
Katy Perry,3405,United States
Avicii,3330,Sweden
Maroon 5,3270,United States
Kanye West,3234,United States
Michael Jackson,3215,United States
Eminem,3024,United States
Lana Del Rey,2972,United States
Ellie Goulding,2972,England
Radiohead,2961,England
Queen,2961,None
BeyoncÌ©,2953,United States
Imagine Dragons,2946,United States
Bruno Mars,2866,United States
The Rolling Stones,2814,England
The Killers,2767,United States
David Bowie,2765,England
Pitbull,2757,None
Florence + The Machine,2721,None
Lady Gaga,2717,United States
Muse,2691,None
Arctic Monkeys,2684,England
Justin Timberlake,2648,United States
Ed Sheeran,2620,England
Mumford & Sons,2563,None
U2,2559,Ireland
M83,2550,None
The Black Keys,2542,United States
Adele,2515,England
Foo Fighters,2500,United States
The xx,2451,None
Kings Of Leon,2445,United States
Lorde,2422,New Zealand
Macklemore & Ryan Lewis,2421,United States
OneRepublic,2420,United States
Nirvana,2404,None
Foster The People,2383,United States
MGMT,2381,United States
Flo Rida,2363,None
Madonna,2294,None
Drake,2258,None
Britney Spears,2244,United States
The Cure,2244,England
Phoenix,2223,None
Pharrell Williams,2218,United States
Red Hot Chili Peppers,2197,United States
Sia,2195,None
Of Monsters and Men,2176,Iceland
Swedish House Mafia,2155,Sweden
Vampire Weekend,2148,United States
Johnny Cash,2147,United States
The Black Eyed Peas,2139,United States
Snoop Dogg,2137,United States
Bob Dylan,2133,United States
Nicki Minaj,2122,Trinidad and Tobago
Two Door Cinema Club,2117,Ireland
Bruce Springsteen,2104,United States
R.E.M.,2085,United States
Usher,2081,None
The Strokes,2081,United States
Stevie Wonder,2079,United States
Shakira,2070,Colombia
Blur,2070,None
Beck,2048,None
Bastille,2045,None
Jason Derulo,2034,None
Green Day,2030,None
Bon Iver,2029,United States
Elton John,2023,England
Fun.,2018,United States
Gotye,2006,Australia
Guns N' Roses,2003,United States
John Legend,2003,United States
Disclosure,1993,None
Gorillaz,1990,England
P!nk,1987,United States
Marvin Gaye,1980,None
Chris Brown,1968,United States
Elvis Presley,1962,United States
Weezer,1962,United States
Arcade Fire,1955,Canada
The Lumineers,1952,None
Passion Pit,1943,United States
OutKast,1895,None
Pearl Jam,1887,United States
Mark Ronson,1887,England
Various Artists,1880,None
Yeah Yeah Yeahs,1867,United States
John Mayer,1861,United States
The White Stripes,1851,United States
Depeche Mode,1848,England
Jessie J,1827,None
Robin Thicke,1822,United States
Taylor Swift,1821,United States
The Smiths,1818,England
Lykke Li,1810,None
Lykke Li,1810,None
Jason Mraz,1809,United States
Bob Marley & The Wailers,1808,Jamaica
The Smashing Pumpkins,1808,United States
Oasis,1805,None
Skrillex,1795,None
Train,1792,None
Miley Cyrus,1792,United States
Sam Smith,1791,None
Fleetwood Mac,1784,None
Frank Sinatra,1780,United States
The Beach Boys,1775,United States
alt-J,1771,England
Icona Pop,1752,Sweden
will.i.am,1748,None
Linkin Park,1725,United States
Death Cab for Cutie,1725,United States
Amy Winehouse,1710,England
Alicia Keys,1696,United States
Franz Ferdinand,1696,None
Moby,1692,None
The Temper Trap,1671,Australia
Enrique Iglesias,1669,Spain
M.I.A.,1667,None
Mariah Carey,1648,United States
Snow Patrol,1642,None
Jennifer Lopez,1636,United States
Beastie Boys,1634,United States
The Who,1631,England
deadmau5,1626,None
Fall Out Boy,1624,United States
Ke$ha,1621,United States
Aerosmith,1619,United States
Major Lazer,1611,None
Simon & Garfunkel,1609,United States
Bon Jovi,1604,United States
Massive Attack,1601,England
Christina Aguilera,1600,United States
Capital Cities,1597,None
The Clash,1595,England
LMFAO,1588,United States
Pixies,1586,None
TiÌÇsto,1582,None
Empire Of The Sun,1576,None
The National,1570,None
Passenger,1570,None
Nina Simone,1558,None
The Kooks,1557,England
Kid Cudi,1555,United States
Lily Allen,1544,England
Jack Johnson,1541,None
The Shins,1533,United States
Band of Horses,1530,None
The Script,1522,Ireland
The Chemical Brothers,1521,England
Kelly Clarkson,1513,United States
The Police,1510,England
Kendrick Lamar,1501,United States
LCD Soundsystem,1494,United States
Edward Sharpe & The Magnetic Zeros,1493,United States
The Offspring,1474,United States
Creedence Clearwater Revival,1470,United States
The Naked And Famous,1467,New Zealand
Ariana Grande,1467,United States
Jimi Hendrix,1462,None
Aretha Franklin,1460,United States
Regina Spektor,1459,Russia
Lil Wayne,1458,United States
Hozier,1457,None
AWOLNATION,1450,United States
Paramore,1447,United States
Clean Bandit,1438,England
One Direction,1437,None
Fatboy Slim,1431,None
Zedd,1426,Germany
Keane,1425,None
Rage Against The Machine,1422,United States
The Doors,1411,United States
Blondie,1404,None
La Roux,1404,England
Queens Of The Stone Age,1402,United States
Hot Chip,1400,England
Haim,1398,None
B.o.B,1396,None
The Verve,1390,England
Justice,1390,None
RÌ¦yksopp,1387,Norway
Michael BublÌ©,1387,Canada
James Brown,1387,United States
Eric Clapton,1385,England
Journey,1378,None
Metallica,1373,United States
Wiz Khalifa,1363,United States
Billy Joel,1362,United States
blink-182,1355,United States
JosÌ© GonzÌÁlez,1353,None
The Cranberries,1351,Ireland
Whitney Houston,1351,United States
Robbie Williams,1350,None
Modest Mouse,1348,United States
Feist,1347,None
Feist,1347,None
James Blake,1342,None
Carly Rae Jepsen,1339,Canada
Van Morrison,1338,None
Sufjan Stevens,1337,None
Neil Young,1331,Canada
Pink Floyd,1331,England
New Order,1326,None
Robyn,1325,None
Dire Straits,1317,England
No Doubt,1312,United States
Otis Redding,1311,None
Daryl Hall & John Oates,1305,United States
The Fray,1300,None
Iggy Azalea,1300,Australia
Led Zeppelin,1296,None
Dr. Dre,1295,United States
Phil Collins,1295,England
Jackson 5,1292,None
The Notorious B.I.G.,1280,None
Lenny Kravitz,1271,United States
Bloc Party,1268,England
Bryan Adams,1264,None
Talking Heads,1262,United States
Ben Howard,1253,England
CHVRCHES,1252,Scotland
Tame Impala,1245,Australia
Iggy Pop,1244,United States
The Prodigy,1243,England
Iron & Wine,1240,None
Belle & Sebastian,1239,Scotland
Santigold,1238,None
Cyndi Lauper,1237,United States
Aloe Blacc,1232,None
50 Cent,1229,United States
Fleet Foxes,1229,United States
T.I.,1225,United States
Birdy,1225,None
Prince,1225,None
Counting Crows,1220,United States
Kasabian,1218,England
The Kinks,1218,England
Armin van Buuren,1215,Netherlands
Norah Jones,1206,United States
Tove Lo,1205,Sweden
Taio Cruz,1202,None
Timbaland,1202,United States
Bombay Bicycle Club,1196,England
Foals,1194,None
Justin Bieber,1193,Canada
2Pac,1192,United States
Miike Snow,1191,Sweden
Lou Reed,1189,United States
Damien Rice,1188,None
R. Kelly,1185,United States
Incubus,1184,None
Nelly,1180,United States
Sigur RÌ_s,1179,Iceland
Wham!,1177,England
"Earth, Wind & Fire",1177,United States
Kylie Minogue,1174,Australia
Ray Charles,1167,None
Toto,1165,None
Afrojack,1164,None
Nine Inch Nails,1163,United States
Lynyrd Skynyrd,1159,United States
The Cardigans,1152,Sweden
Owl City,1151,United States
Frank Ocean,1146,United States
Grouplove,1142,United States
Louis Armstrong,1140,United States
Jimmy Eat World,1139,United States
Bill Withers,1137,None
Metric,1137,None
Vance Joy,1136,None
Ryan Adams,1136,United States
Meghan Trainor,1136,United States
Cat Power,1125,None
Duran Duran,1124,England
Peter Bjorn And John,1119,Sweden
Paul Simon,1119,United States
Crystal Castles,1116,Canada
Grizzly Bear,1116,None
Santana,1115,None
The Velvet Underground,1108,None
Paul McCartney,1106,England
Tegan And Sara,1105,Canada
Nelly Furtado,1104,Canada
RUN-DMC,1099,None
Air,1098,None
The Postal Service,1097,None
Grimes,1093,None
A$AP Rocky,1091,None
The Ting Tings,1087,None
James Blunt,1086,England
The Weeknd,1085,Canada
Ella Fitzgerald,1078,United States
Tears For Fears,1077,England
Van Halen,1075,United States
Cee Lo Green,1073,None
SBTRKT,1070,None
SBTRKT,1070,None
Demi Lovato,1070,United States
Ramones,1064,United States
Bee Gees,1058,None
Avril Lavigne,1057,Canada
George Michael,1056,England
Destiny's Child,1055,United States
Electric Light Orchestra,1053,England
Lupe Fiasco,1050,None
Phantogram,1047,None
Jack White,1046,United States
Black Sabbath,1043,England
Broken Bells,1042,United States
The Roots,1041,None
Ne-Yo,1039,United States
Emeli SandÌ©,1038,England
MIKA,1036,None
Marilyn Manson,1036,None
System Of A Down,1035,United States
Alanis Morissette,1032,Canada
Sean Paul,1030,None
Jeff Buckley,1029,None
BjÌ¦rk,1027,Iceland
Sara Bareilles,1025,United States
Sting,1025,None
Interpol,1024,None
Spoon,1019,None
Soundgarden,1018,United States
Nickelback,1017,Canada
TV On The Radio,1015,None
Childish Gambino,1013,United States
The Goo Goo Dolls,1013,United States
The Temptations,1013,United States
ABBA,1011,Sweden
Ray LaMontagne,1010,None
The Neighbourhood,1010,United States
Stromae,1010,None
